Mol_ID,Gene_symbol,Description
MOL000098,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
MOL000098,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000098,CYP4A11,cytochrome P450 family 4 subfamily A member 11
MOL000098,GLB1,galactosidase beta 1
MOL000098,CASP8,caspase 8
MOL000098,AR,androgen receptor
MOL000098,MMP9,matrix metallopeptidase 9
MOL000098,DLG4,discs large MAGUK scaffold protein 4
MOL000098,ATF6,activating transcription factor 6
MOL000098,EFNB2,ephrin B2
MOL000098,TFEB,transcription factor EB
MOL000098,PPARA,peroxisome proliferator activated receptor alpha
MOL000098,IL18,interleukin 18
MOL000098,CRP,C-reactive protein
MOL000098,GPX1,glutathione peroxidase 1
MOL000098,NFATC4,nuclear factor of activated T cells 4
MOL000098,ALB,albumin
MOL000098,AREG,amphiregulin
MOL000098,SARDH,sarcosine dehydrogenase
MOL000098,IL6,interleukin 6
MOL000098,GCLM,glutamate-cysteine ligase modifier subunit
MOL000098,MIR21,microRNA 21
MOL000098,TREM1,triggering receptor expressed on myeloid cells 1
MOL000098,KPNA1,karyopherin subunit alpha 1
MOL000098,MMP12,matrix metallopeptidase 12
MOL000098,PANX1,pannexin 1
MOL000098,ALPL,"alkaline phosphatase, biomineralization associated"
MOL000098,MAPK9,mitogen-activated protein kinase 9
MOL000098,PARP1,poly(ADP-ribose) polymerase 1
MOL000211,STAT1,signal transducer and activator of transcription 1
MOL000211,TNFSF11,TNF superfamily member 11
MOL000211,AXIN2,axin 2
MOL000211,NFKB1,nuclear factor kappa B subunit 1
MOL000211,EPHB2,EPH receptor B2
MOL000211,SOD2,superoxide dismutase 2
MOL000211,NFATC1,nuclear factor of activated T cells 1
MOL000211,COX2,cytochrome c oxidase subunit II
MOL000211,KEAP1,kelch like ECH associated protein 1
MOL000211,ESR2,estrogen receptor 2
MOL000211,GABPA,GA binding protein transcription factor subunit alpha
MOL000211,S100A4,S100 calcium binding protein A4
MOL000211,WNT3A,Wnt family member 3A
MOL000211,HMOX1,heme oxygenase 1
MOL000211,LRP6,LDL receptor related protein 6
MOL000211,SOD1,superoxide dismutase 1
MOL000211,MAPK14,mitogen-activated protein kinase 14
MOL000211,SOCS1,suppressor of cytokine signaling 1
MOL000211,CTNNB1,catenin beta 1
MOL000211,JAK1,Janus kinase 1
MOL000211,COL1A1,collagen type I alpha 1 chain
MOL000211,DVL2,dishevelled segment polarity protein 2
MOL000211,SOAT1,sterol O-acyltransferase 1
MOL000211,CCND1,cyclin D1
MOL000211,MRPS33,mitochondrial ribosomal protein S33
MOL000211,LCK,"LCK proto-oncogene, Src family tyrosine kinase"
MOL000211,HIF3A,hypoxia inducible factor 3 subunit alpha
MOL000211,NRF1,nuclear respiratory factor 1
MOL000211,RPSA,ribosomal protein SA
MOL000211,MAPK8,mitogen-activated protein kinase 8
MOL000211,MPO,myeloperoxidase
MOL000211,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
MOL000211,MMP1,matrix metallopeptidase 1
MOL000433,ALDH1A1,aldehyde dehydrogenase 1 family member A1
MOL000433,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1
MOL000433,AR,androgen receptor
MOL000433,CASP3,caspase 3
MOL000433,CDK2,cyclin dependent kinase 2
MOL000433,CYP2C9,cytochrome P450 family 2 subfamily C member 9
MOL000433,CYP2D6,cytochrome P450 family 2 subfamily D member 6
